Games name,Platforms,Reviewers,,Positive percent,Comment,Released,Price,Discount,Discounted price,Type,URL,All_tags
Counter-Strike: Global Offensive,"Win, Mac, Linux",7531310,7531310,88,Very Positive,"21 Aug, 2012","14,29€",0,"14,29€",FPS,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_240_150_1,"FPS, Shooter, Multiplayer"
Baldur's Gate 3,"Win, Mac",297225,297225,95,Overwhelmingly Positive,"3 Aug, 2023","59,99€",0,"59,99€",RPG,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_240_150_1,"RPG, Choices Matter, Character Customization"
Dota 2,"Win, Mac, Linux",2054432,2054432,82,Very Positive,"9 Jul, 2013","138,70€",55,"62,41€",Free to Play,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,"Free to Play, MOBA, Multiplayer"
Tom Clancy's Rainbow Six® Siege,Win,997534,997534,86,Very Positive,"1 Dec, 2015","19,99€",0,"19,99€",FPS,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"FPS, PvP, eSports"
PUBG: BATTLEGROUNDS,Win,2221754,0,0,None,"21 Dec, 2017",0,None,0,Survival,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,"Survival, Shooter, Battle Royale"
Total War: WARHAMMER III,"Win, Mac, Linux",61581,0,0,None,"16 Feb, 2022","59,99€",None,0,Early Access,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_240_150_1,"Early Access, Strategy, Turn-Based Strategy"
Black Desert,Win,49746,49746,76,Mostly Positive,"24 May, 2017","9,99€",0,"9,99€",MMORPG,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_240_150_1,"MMORPG, Massively Multiplayer, RPG"
Arma 3,"Win, Mac",153980,153980,91,Very Positive,"12 Sep, 2013","27,99€",None,0,Military,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_240_150_1,"Military, Action, Multiplayer"
Hearts of Iron IV,"Win, Mac, Linux",177368,177368,92,Very Positive,"6 Jun, 2016","39,99€",0,"39,99€",Strategy,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,"Strategy, World War II, Grand Strategy"
Dead by Daylight,Win,493906,493906,80,Very Positive,"14 Jun, 2016","19,99€",0,"19,99€",Horror,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"Horror, Survival Horror, Multiplayer"
Cities: Skylines,"Win, Mac, Linux",179584,179584,93,Very Positive,"10 Mar, 2015","27,99€",None,0,City Builder,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_240_150_1,"City Builder, Simulation, Building"
Total War: WARHAMMER II,"Win, Mac, Linux",81589,81589,93,Very Positive,"28 Sep, 2017","59,99€",None,0,Strategy,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_240_150_1,"Strategy, Fantasy, Turn-Based Strategy"
Planet Zoo,Win,60385,60385,90,Very Positive,"5 Nov, 2019","44,99€",None,0,Management,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_240_150_1,"Management, Simulation, Building"
