Title,Platforms,Reviews,Players,Positives,Review_summary,Released,Price,Discount,Final_price,Main_tag,Url,All_tags
Counter-Strike 2,"Win, Linux",7570864,7570864,88,Very Positive,"21 Aug, 2012","14,29€",0,"14,29€",FPS,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_240_150_1,"FPS, Shooter, Multiplayer"
Baldur's Gate 3,"Win, Mac",310545,310545,95,Overwhelmingly Positive,2023 年 8 月 3 日,"59,99€",0,"59,99€",角色扮演,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_240_150_1,"角色扮演, 选择取向, 角色自定义"
Dota 2,"Win, Mac, Linux",2059864,2059864,82,Very Positive,"9 Jul, 2013","138,70€",55,"62,41€",Free to Play,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,"Free to Play, MOBA, Multiplayer"
Tom Clancy's Rainbow Six® Siege,Win,999706,999706,86,Very Positive,2015 年 12 月 1 日,"19,99€",0,"19,99€",第一人称射击,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"第一人称射击, 玩家对战, 电竞"
PUBG: BATTLEGROUNDS,Win,2223990,0,0,None,2017 年 12 月 21 日,0,None,0,生存,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,"生存, 射击, 大逃杀"
Jagged Alliance 3,Win,5533,5533,88,Very Positive,"14 Jul, 2023","44,99€",None,0,Strategy,https://store.steampowered.com/app/1084160/Jagged_Alliance_3/?snr=1_7_7_240_150_1,"Strategy, Tactical, Turn-Based Tactics"
Hearts of Iron IV,"Win, Mac, Linux",177905,177905,92,Very Positive,"6 Jun, 2016","39,99€",0,"39,99€",Strategy,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,"Strategy, World War II, Grand Strategy"
Dead by Daylight,Win,494440,494440,80,Very Positive,"14 Jun, 2016","19,99€",0,"19,99€",Horror,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"Horror, Survival Horror, Multiplayer"
RimWorld,"Win, Mac, Linux",141459,141459,98,Overwhelmingly Positive,"17 Oct, 2018","31,99€",None,0,Colony Sim,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"Colony Sim, Base Building, Survival"
Black Desert,Win,49861,49861,76,Mostly Positive,"24 May, 2017","9,99€",0,"9,99€",MMORPG,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_240_150_1,"MMORPG, Massively Multiplayer, RPG"
The Texas Chain Saw Massacre,Win,10883,10883,78,Mostly Positive,"18 Aug, 2023","38,99€",0,"38,99€",Horror,https://store.steampowered.com/app/1433140/The_Texas_Chain_Saw_Massacre/?snr=1_7_7_240_150_1,"Horror, Multiplayer, Gore"
Total War: WARHAMMER III,"Win, Mac, Linux",61851,0,0,None,"16 Feb, 2022","59,99€",0,"59,99€",Early Access,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_240_150_1,"Early Access, Strategy, Turn-Based Strategy"
Cities: Skylines,"Win, Mac, Linux",180260,180260,93,Very Positive,"10 Mar, 2015","27,99€",0,"27,99€",City Builder,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_240_150_1,"City Builder, Simulation, Building"
Geometry Dash,"Win, Mac",244090,244090,93,Very Positive,"22 Dec, 2014","3,99€",0,"3,99€",Difficult,https://store.steampowered.com/app/322170/Geometry_Dash/?snr=1_7_7_240_150_1,"Difficult, Music, Great Soundtrack"
theHunter: Call of the Wild™,Win,116590,116590,88,Very Positive,"16 Feb, 2017","19,99€",0,"19,99€",Hunting,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_240_150_1,"Hunting, Open World, Multiplayer"
Raft,Win,241965,241965,93,Very Positive,"20 Jun, 2022","19,99€",0,"19,99€",Survival,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_240_150_1,"Survival, Open World Survival Craft, Multiplayer"
PAYDAY 2,"Win, Linux",417835,417835,89,Very Positive,"13 Aug, 2013","9,99€",0,"9,99€",Co-op,https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_240_150_1,"Co-op, Action, FPS"
Cities: Skylines II,Win,,0,0,None,"24 Oct, 2023","49,99€",0,"49,99€",Simulation,https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_240_150_1,"Simulation, City Builder, Building"
Baldur's Gate 3 - Digital Deluxe Edition DLC,"Win, Mac",3074,3074,96,Overwhelmingly Positive,"3 Aug, 2023","9,75€",0,"9,75€",Adventure,https://store.steampowered.com/app/2378500/Baldurs_Gate_3__Digital_Deluxe_Edition_DLC/?snr=1_7_7_240_150_1,"Adventure, RPG, Strategy"
Bloons TD 6,"Win, Mac",242044,242044,97,Overwhelmingly Positive,"17 Dec, 2018","13,79€",0,"13,79€",Tower Defense,https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_240_150_1,"Tower Defense, Strategy, Multiplayer"
Guild Wars 2,Win,11666,11666,88,Very Positive,"23 Aug, 2022",0,None,0,MMORPG,https://store.steampowered.com/app/1284210/Guild_Wars_2/?snr=1_7_7_240_150_1,"MMORPG, Adventure, RPG"
