,Games name,Platforms,Multiplatform,Reviewers,Unnamed: 3,Positive percent,Comment,Released,Day_since_release,Price,Discount,On_sale,Discounted price,Type,URL,All_tags
0,Counter-Strike: Global Offensive,"Win, Mac, Linux",1,7531310.0,7531310,88,Very Positive,"21 Aug, 2012",4055,"14,29€",0.0,0,"14,29€",FPS,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_240_150_1,"FPS, Shooter, Multiplayer"
1,Baldur's Gate 3,"Win, Mac",1,297225.0,297225,95,Overwhelmingly Positive,"3 Aug, 2023",56,"59,99€",0.0,0,"59,99€",RPG,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_240_150_1,"RPG, Choices Matter, Character Customization"
2,Dota 2,"Win, Mac, Linux",1,2054432.0,2054432,82,Very Positive,"9 Jul, 2013",3733,"138,70€",55.0,1,"62,41€",Free to Play,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,"Free to Play, MOBA, Multiplayer"
3,Tom Clancy's Rainbow Six® Siege,Win,0,997534.0,997534,86,Very Positive,"1 Dec, 2015",2858,"19,99€",0.0,0,"19,99€",FPS,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"FPS, PvP, eSports"
4,PUBG: BATTLEGROUNDS,Win,0,2221754.0,0,0,,"21 Dec, 2017",2107,0,100.0,1,0,Survival,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,"Survival, Shooter, Battle Royale"
5,Total War: WARHAMMER III,"Win, Mac, Linux",1,61581.0,0,0,,"16 Feb, 2022",589,"59,99€",100.0,1,0,Early Access,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_240_150_1,"Early Access, Strategy, Turn-Based Strategy"
6,Black Desert,Win,0,49746.0,49746,76,Mostly Positive,"24 May, 2017",2318,"9,99€",0.0,0,"9,99€",MMORPG,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_240_150_1,"MMORPG, Massively Multiplayer, RPG"
7,Arma 3,"Win, Mac",1,153980.0,153980,91,Very Positive,"12 Sep, 2013",3668,"27,99€",100.0,1,0,Military,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_240_150_1,"Military, Action, Multiplayer"
8,Hearts of Iron IV,"Win, Mac, Linux",1,177368.0,177368,92,Very Positive,"6 Jun, 2016",2670,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,"Strategy, World War II, Grand Strategy"
9,Dead by Daylight,Win,0,493906.0,493906,80,Very Positive,"14 Jun, 2016",2662,"19,99€",0.0,0,"19,99€",Horror,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"Horror, Survival Horror, Multiplayer"
10,Cities: Skylines,"Win, Mac, Linux",1,179584.0,179584,93,Very Positive,"10 Mar, 2015",3124,"27,99€",100.0,1,0,City Builder,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_240_150_1,"City Builder, Simulation, Building"
11,Total War: WARHAMMER II,"Win, Mac, Linux",1,81589.0,81589,93,Very Positive,"28 Sep, 2017",2191,"59,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_240_150_1,"Strategy, Fantasy, Turn-Based Strategy"
12,Planet Zoo,Win,0,60385.0,60385,90,Very Positive,"5 Nov, 2019",1423,"44,99€",100.0,1,0,Management,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_240_150_1,"Management, Simulation, Building"
13,Raft,Win,0,241368.0,241368,93,Very Positive,"20 Jun, 2022",465,"19,99€",0.0,0,"19,99€",Survival,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_240_150_1,"Survival, Open World Survival Craft, Multiplayer"
14,The Texas Chain Saw Massacre,Win,0,10506.0,10506,79,Mostly Positive,"18 Aug, 2023",41,"38,99€",0.0,0,"38,99€",Horror,https://store.steampowered.com/app/1433140/The_Texas_Chain_Saw_Massacre/?snr=1_7_7_240_150_1,"Horror, Multiplayer, Gore"
15,Geometry Dash,"Win, Mac",1,242288.0,242303,93,Very Positive,"22 Dec, 2014",3202,"3,99€",0.0,0,"3,99€",Difficult,https://store.steampowered.com/app/322170/Geometry_Dash/?snr=1_7_7_240_150_1,"Difficult, Music, Great Soundtrack"
16,MARVEL SNAP,Win,0,18143.0,18143,82,Very Positive,"22 Aug, 2023",37,0,100.0,1,0,Card Battler,https://store.steampowered.com/app/1997040/MARVEL_SNAP/?snr=1_7_7_240_150_1,"Card Battler, Strategy, Free to Play"
17,theHunter: Call of the Wild™,Win,0,116389.0,116389,88,Very Positive,"16 Feb, 2017",2415,"19,99€",0.0,0,"19,99€",Hunting,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_240_150_1,"Hunting, Open World, Multiplayer"
18,Cities: Skylines II,Win,0,,0,0,,"24 Oct, 2023",-25,"49,99€",0.0,0,"49,99€",Simulation,https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_240_150_1,"Simulation, City Builder, Building"
19,Baldur's Gate 3 - Digital Deluxe Edition DLC,"Win, Mac",1,3019.0,3019,96,Overwhelmingly Positive,"3 Aug, 2023",56,"9,75€",0.0,0,"9,75€",Adventure,https://store.steampowered.com/app/2378500/Baldurs_Gate_3__Digital_Deluxe_Edition_DLC/?snr=1_7_7_240_150_1,"Adventure, RPG, Strategy"
20,Jagged Alliance 3,Win,0,5430.0,5430,88,Very Positive,"14 Jul, 2023",76,"44,99€",0.0,0,"44,99€",Strategy,https://store.steampowered.com/app/1084160/Jagged_Alliance_3/?snr=1_7_7_240_150_1,"Strategy, Tactical, Turn-Based Tactics"
21,Guild Wars 2,Win,0,11530.0,11530,88,Very Positive,"23 Aug, 2022",401,0,100.0,1,0,MMORPG,https://store.steampowered.com/app/1284210/Guild_Wars_2/?snr=1_7_7_240_150_1,"MMORPG, Adventure, RPG"
22,Crusader Kings III,"Win, Mac, Linux",1,62720.0,62720,92,Very Positive,"1 Sep, 2020",1122,"49,99€",0.0,0,"49,99€",Strategy,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_240_150_1,"Strategy, Simulation, RPG"
23,World of Tanks Blitz,"Win, Mac",1,131643.0,131643,80,Very Positive,"9 Nov, 2016",2514,0,100.0,1,0,Tanks,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/?snr=1_7_7_240_150_1,"Tanks, Free to Play, Shooter"
24,RimWorld,"Win, Mac, Linux",1,141162.0,141162,98,Overwhelmingly Positive,"17 Oct, 2018",1807,"31,99€",0.0,0,"31,99€",Colony Sim,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"Colony Sim, Base Building, Survival"
25,Hell Let Loose,Win,0,69200.0,69200,84,Very Positive,"27 Jul, 2021",793,"44,99€",0.0,0,"44,99€",Shooter,https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_240_150_1,"Shooter, World War II, FPS"
26,Total War: WARHAMMER,"Win, Mac, Linux",1,30557.0,30557,79,Mostly Positive,"24 May, 2016",2683,"59,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_240_150_1,"Strategy, Fantasy, RTS"
27,Bloons TD 6,"Win, Mac",1,241360.0,241360,97,Overwhelmingly Positive,"17 Dec, 2018",1746,"13,79€",0.0,0,"13,79€",Tower Defense,https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_240_150_1,"Tower Defense, Strategy, Multiplayer"
28,Stellaris,"Win, Mac, Linux",1,108183.0,108183,88,Very Positive,"9 May, 2016",2698,"39,99€",0.0,0,"39,99€",Space,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_240_150_1,"Space, Grand Strategy, Strategy"
29,FOR HONOR™,Win,0,82668.0,0,0,,"13 Feb, 2017",2418,"14,99€",100.0,1,0,Medieval,https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_240_150_1,"Medieval, Swordplay, Action"
30,Total War: THREE KINGDOMS,"Win, Mac, Linux",1,54691.0,54691,82,Very Positive,"23 May, 2019",1589,"59,99€",100.0,1,0,策略,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_240_150_1,"策略, 历史, 战争"
31,Factorio,"Win, Mac, Linux",1,134880.0,134880,96,Overwhelmingly Positive,"14 Aug, 2020",1140,"32,00€",0.0,0,"32,00€",Automation,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_240_150_1,"Automation, Base Building, Resource Management"
32,Age of Empires IV: Anniversary Edition,Win,0,41883.0,41883,86,Very Positive,"28 Oct, 2021",700,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_240_150_1,"Strategy, RTS, War"
