,Title,Platforms,Multiplatform,Reviews,Players,Positives,Review_summary,Released,Day_since_release,Price,Discount,On_sale,Final_price,Main_tag,Url,All_tags
0,Counter-Strike 2,"Win, Linux",1,7570864.0,7570864,88,Very Positive,"21 Aug, 2012",4055,"14,29€",0.0,0,"14,29€",FPS,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_240_150_1,"FPS, Shooter, Multiplayer"
1,Baldur's Gate 3,"Win, Mac",1,310545.0,310545,95,Overwhelmingly Positive,2023 年 8 月 3 日,56,"59,99€",0.0,0,"59,99€",角色扮演,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_240_150_1,"角色扮演, 选择取向, 角色自定义"
2,Dota 2,"Win, Mac, Linux",1,2059864.0,2059864,82,Very Positive,"9 Jul, 2013",3733,"138,70€",55.0,1,"62,41€",Free to Play,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,"Free to Play, MOBA, Multiplayer"
3,Tom Clancy's Rainbow Six® Siege,Win,0,999706.0,999706,86,Very Positive,2015 年 12 月 1 日,2858,"19,99€",0.0,0,"19,99€",第一人称射击,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"第一人称射击, 玩家对战, 电竞"
4,PUBG: BATTLEGROUNDS,Win,0,2223990.0,0,0,,2017 年 12 月 21 日,2107,0,100.0,1,0,生存,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,"生存, 射击, 大逃杀"
5,Jagged Alliance 3,Win,0,5533.0,5533,88,Very Positive,"14 Jul, 2023",76,"44,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/1084160/Jagged_Alliance_3/?snr=1_7_7_240_150_1,"Strategy, Tactical, Turn-Based Tactics"
6,Hearts of Iron IV,"Win, Mac, Linux",1,177905.0,177905,92,Very Positive,"6 Jun, 2016",2670,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,"Strategy, World War II, Grand Strategy"
7,Dead by Daylight,Win,0,494440.0,494440,80,Very Positive,"14 Jun, 2016",2662,"19,99€",0.0,0,"19,99€",Horror,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"Horror, Survival Horror, Multiplayer"
8,RimWorld,"Win, Mac, Linux",1,141459.0,141459,98,Overwhelmingly Positive,"17 Oct, 2018",1807,"31,99€",100.0,1,0,Colony Sim,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"Colony Sim, Base Building, Survival"
9,Black Desert,Win,0,49861.0,49861,76,Mostly Positive,"24 May, 2017",2318,"9,99€",0.0,0,"9,99€",MMORPG,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_240_150_1,"MMORPG, Massively Multiplayer, RPG"
10,The Texas Chain Saw Massacre,Win,0,10883.0,10883,78,Mostly Positive,"18 Aug, 2023",41,"38,99€",0.0,0,"38,99€",Horror,https://store.steampowered.com/app/1433140/The_Texas_Chain_Saw_Massacre/?snr=1_7_7_240_150_1,"Horror, Multiplayer, Gore"
11,Total War: WARHAMMER III,"Win, Mac, Linux",1,61851.0,0,0,,"16 Feb, 2022",589,"59,99€",0.0,0,"59,99€",Early Access,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_240_150_1,"Early Access, Strategy, Turn-Based Strategy"
12,Cities: Skylines,"Win, Mac, Linux",1,180260.0,180260,93,Very Positive,"10 Mar, 2015",3124,"27,99€",0.0,0,"27,99€",City Builder,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_240_150_1,"City Builder, Simulation, Building"
13,Geometry Dash,"Win, Mac",1,244090.0,244090,93,Very Positive,"22 Dec, 2014",3202,"3,99€",0.0,0,"3,99€",Difficult,https://store.steampowered.com/app/322170/Geometry_Dash/?snr=1_7_7_240_150_1,"Difficult, Music, Great Soundtrack"
14,theHunter: Call of the Wild™,Win,0,116590.0,116590,88,Very Positive,"16 Feb, 2017",2415,"19,99€",0.0,0,"19,99€",Hunting,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_240_150_1,"Hunting, Open World, Multiplayer"
